founder_id,name,genome
1244,Virido caeruleo [Protozoa],161;232;225;240;40;167;115;170;25;90
3298,Aggresso celer [Bacteria],112;175;107;50;50;23;240;1;100
3303,Aggresso rubra [Protozoa],203;140;50;50;220;240;210;0;237;2
5351,Virido celer [Bacteria],188;120;67;211;50;32;169;107;236
5354,Caeruleo energo [Bacteria],27;120;220;171;228;41;88;219;233
1259,Energo celer [Bacteria],220;120;220;188;163;94;123;180;2
3311,Celer virido [Protozoa],158;162;50;10;66;83;240;39;5;2
1269,Energo rubra [Protozoa],210;140;16;173;94;56;66;113;65;2
3317,Caeruleo virido [Bacteria],125;60;105;19;186;87;49;127;199
3318,Caeruleo celer [Protozoa],182;211;176;175;220;120;50;255;93;2
1276,Virido rubra [Algae],43;200;21;220;50;40;111
3324,Aggresso caeruleo [Bacteria],101;179;146;148;41;139;208;155;63
3325,Celer caeruleo [Bacteria],163;182;154;103;31;220;170;1;2
5375,Rubra aggresso [Protozoa],210;140;250;218;220;122;240;117;82;245
3328,Virido rubra [Protozoa],187;140;41;249;220;240;211;0;68;2
1285,Aggresso virido [Bacteria],46;166;97;8;190;16;219;158;94
5383,Energo virido [Bacteria],220;72;220;50;208;220;164;214;125
5386,Aggresso celer [Protozoa],210;127;101;50;76;240;42;17;1;101
5389,Senecto photosyntho [Algae],71;238;36;8;134;1;188
3347,Caeruleo celer [Protozoa],86;140;218;161;220;189;22;0;1;40
1301,Aggresso virido [Protozoa],210;49;50;18;207;240;240;208;1;187
3349,Caeruleo rubra [Protozoa],210;95;50;50;220;154;143;20;1;55
3350,Celer virido [Protozoa],132;195;225;50;220;131;240;37;182;2
1310,Virido rubra [Algae],180;200;50;217;50;114;219
3360,Aggresso rubra [Protozoa],164;140;50;50;56;240;57;12;155;161
3370,Caeruleo virido [Bacteria],122;120;148;50;224;212;180;140;234
3392,Energo rubra [Bacteria],97;72;3;65;50;75;45;211;2
3393,Caeruleo rubra [Protozoa],124;114;50;50;220;178;169;53;1;2
3398,Aggresso caeruleo [Protozoa],21;140;223;136;5;240;240;110;160;33
1356,Celer virido [Bacteria],174;120;91;51;164;220;218;1;227
3421,Aggresso celer [Protozoa],156;103;35;121;220;240;9;205;244;2
3428,Caeruleo rubra [Bacteria],46;214;14;184;246;35;59;184;74
3429,Aggresso rubra [Bacteria],202;120;58;122;77;219;242;175;125
3431,Virido energo [Bacteria],9;77;140;221;196;167;179;107;68
1386,Energo senecto [Bacteria],220;1;36;50;23;220;65;99;2
3439,Energo virido [Bacteria],220;120;220;50;50;192;129;202;245
3444,Aggresso rubra [Bacteria],220;120;38;157;53;166;240;237;91
1397,Aggresso caeruleo [Bacteria],220;101;220;50;12;220;240;1;86
1401,Senecto rubra [Algae],180;200;50;180;134;180;203
3458,Aggresso senecto [Protozoa],128;50;239;50;220;240;175;0;1;2
1416,Caeruleo celer [Bacteria],210;87;43;50;251;21;113;1;113
3464,Senecto virido [Protozoa],21;254;50;3;220;33;198;161;1;2
3486,Aggresso celer [Protozoa],93;140;87;164;110;240;61;229;116;138
3501,Caeruleo virido [Protozoa],210;118;31;4;220;19;58;98;188;172
1455,Energo senecto [Bacteria],192;64;68;184;141;87;190;74;224
1464,Aggresso virido [Bacteria],98;120;220;50;50;145;240;212;176
3515,Rubra celer [Bacteria],28;120;220;46;50;26;131;191;169
3518,Caeruleo celer [Bacteria],210;161;191;50;251;21;112;1;2
1471,Aggresso virido [Bacteria],220;125;176;2;12;202;240;45;2
1472,Rubra energo [Bacteria],14;120;220;163;23;14;65;7;145
3520,Aggresso virido [Bacteria],220;41;220;19;50;135;235;41;2
1487,Aggresso celer [Bacteria],167;44;220;50;50;41;237;240;205
3541,Aggresso virido [Bacteria],153;120;116;50;50;142;240;1;99
3543,Energo senecto [Bacteria],212;27;27;50;93;40;176;11;113
1499,Rubra virido [Bacteria],167;161;220;87;199;204;87;1;2
3548,Senecto virido [Bacteria],72;243;220;44;50;100;81;11;146
3553,Senecto virido [Bacteria],60;242;220;12;192;220;223;1;232
3555,Caeruleo aggresso [Bacteria],79;120;132;65;172;16;12;106;2
